COUNTRY,Counts,dist_to_country_min,dist_to_country_max,dist_spread,variance,avg_pairwise,maxmin_pairwise,std_pairwise,median_pairwise,trans_avg_pairwise,trans_maxmin_pairwise,trans_quantile_pairwise,trans_std_pairwise,trans_median_pairwise,top5_cum_variance,num_cluster,cluster_ratio,GDP per person employed (constant 2005-2023 PPP $),eco_feature1,Sigmoid GDP per person employed (constant 2005-2023 PPP $),personality_index,Color_Flag,Annotation
Bulgaria,828,0.0,0.4683961649003184,0.4683961649003184,56.83976364510568,0.0421564746028737,0.6202274114625786,0.0320677210102941,0.0357619090719463,0.300434029215353,8.523494872965562,1.7704663026013954,0.549936325764099,0.3002216887007157,0.6936072710580065,6.0,2.7195540896329446,56959.20061,10.950090511752826,1.0,0.3002216887007157,No,
Latvia,811,0.0026838834659795,0.1235253202693673,0.1208414368033877,45.321239150885184,0.03604844459824,0.2644071469809508,0.0212027561943578,0.0310622442257856,0.2881178865203296,5.455235863951078,1.7824872705556198,0.5428351776697036,0.2880381603636822,0.6617012179869718,5.0,2.537167927146383,66291.45691,11.101816312818638,1.0,0.2880381603636822,No,
Lithuania,799,0.0042330393114939,0.0831270048455975,0.0788939655341035,53.572229159428495,0.0408409808653569,0.2051205534495714,0.0210771281618365,0.0362717359770721,0.3010385590709562,5.35726673155745,1.649985509683093,0.5022005631762482,0.3015030108206977,0.6829033539883373,6.0,2.5841120463056324,78549.8582,11.271488838462533,1.0,0.3015030108206977,No,
Iran,782,0.0,0.7061942435230744,0.7061942435230744,63.54559546541368,0.0433731643136669,0.9999749065927268,0.0554709578745743,0.0338875463726244,0.2970860807204282,10.592905404761478,1.8417690341839763,0.5976545608629975,0.2954464875242873,0.7365720123416138,5.0,2.463331459532954,51237.10846,10.844219323114695,1.0,0.2954464875242873,No,
United Arab Emirates,734,0.0,0.2254294550855509,0.2254294550855509,55.67703045158351,0.039207196322362,0.3219733415664835,0.0240391679802527,0.033696347118875,0.2951254758557623,5.28862919364361,1.7696116378874058,0.5421041544871912,0.2949534199909271,0.6916540952413655,6.0,2.632804085064952,106784.3095,11.578566279921189,1.0,0.2949534199909271,No,
Hungary,691,0.0,0.1103532148974701,0.1103532148974701,63.0095219876771,0.0460563913060265,0.2870972603443946,0.0255835486783157,0.0402317468925849,0.3106946252350021,10.134451960674948,1.7607048429285277,0.5348932406896214,0.3112260282194409,0.702073281628674,6.0,2.687278121089495,75258.24333,11.228680722525027,1.0,0.3112260282194409,No,
Ukraine,682,0.0,0.0966907635961538,0.0966907635961538,55.73614459368712,0.0402995148448968,0.2674930865548541,0.0225390214350922,0.0351867581456171,0.2981275447766794,6.0467008673833496,1.7714721705764047,0.539685392190668,0.2987673942258244,0.687458572731582,6.0,2.699536217636264,38432.32213,10.556654106661819,1.0,0.2987673942258244,No,
Czechia,622,0.0043152730708285,0.0860171870287329,0.0817019139579043,56.76604429902683,0.0450648334544465,0.2640498127907613,0.024515649387396,0.0393181664765684,0.3090537527741815,7.505784931104359,1.7213184477504455,0.5261493989310156,0.3090169334418142,0.6893863264604342,5.0,2.410262020244964,89390.55101,11.400770262175216,1.0,0.3090169334418142,No,
Algeria,573,0.0,0.6824085707723297,0.6824085707723297,73.8391222991945,0.0539107229390765,0.9195624983996986,0.0786556087554646,0.0374082381161195,0.3092196301596294,7.428795247814058,1.8631239979082204,0.6549871376154942,0.304333928634016,0.7564019203870949,5.0,2.369010446564776,57051.60231,10.95171144096067,1.0,0.304333928634016,No,
Estonia,533,0.003167353589889,0.1750639460478326,0.1718965924579435,53.20215368134441,0.0418610153674349,0.3453468667304942,0.0247351096966347,0.0360938145513225,0.3010656016654768,5.600319204418511,1.7838982411264404,0.5438506170161872,0.3010566694358323,0.6863089613756066,5.0,2.4894855921453938,75968.45556,11.238073474686827,1.0,0.3010566694358323,No,
Slovenia,511,0.0042158640447124,0.0648860020732208,0.0606701380285084,51.031557084442106,0.0386492770058588,0.2192166223541712,0.0202848167142284,0.0341281931482079,0.2959364749055412,4.781521277750899,1.6617684435382691,0.5048789196419947,0.2960654566692383,0.6679994210256897,4.0,2.181484691025979,88275.02044,11.388212452345696,1.0,0.2960654566692383,No,
