COUNTRY,Counts,dist_to_country_min,dist_to_country_max,dist_spread,variance,avg_pairwise,maxmin_pairwise,std_pairwise,median_pairwise,trans_avg_pairwise,trans_maxmin_pairwise,trans_quantile_pairwise,trans_std_pairwise,trans_median_pairwise,top5_cum_variance,num_cluster,cluster_ratio
Italy,3834,0.0,0.55785245561353,0.55785245561353,54.52109119337764,0.04034657525937464,0.6709843202894955,0.02644850756823729,0.03492047249807628,0.2982209808850769,10.764829679566137,1.7077398895546696,0.5251666432759874,0.2980908458280202,0.6761732259249417,5.0,2.3914935181048746
Malaysia,3819,0.0,0.5465804484909456,0.5465804484909456,45.19443131351545,0.03499116735222428,0.6716966399070793,0.023448904189322134,0.030048528114926032,0.2851027213590769,10.955422112400532,1.8078112031445355,0.5521756627931275,0.285311458509203,0.6657564600505638,7.0,2.700064682792712
,3532,0.0,0.7626777737327164,0.7626777737327164,51.99009853710092,0.0409455514704384,0.8928801872178748,0.05273105638172162,0.03351546552372875,0.2692682597295958,10.824167901320697,6.450731510938272,1.5713800201884514,0.2944878523863438,0.7144428580231366,2.0,1.9137944282723287
Finland,3452,0.0,0.3088954850628548,0.3088954850628548,55.576948680002936,0.04361251393343813,0.45550329378554577,0.024351688367883668,0.03821128244202143,0.30619579046674233,10.318373110599092,1.695394285239003,0.5166929119138876,0.3063139462918147,0.6755708993834361,5.0,2.382681551738084
Thailand,3449,0.0013721552494980749,0.6808974215801911,0.679525266330693,27.119508477839055,0.021735173273154322,0.8185370047169865,0.021254075990415913,0.017722804243231915,0.24911339880463457,9.623660548094225,1.896595040409359,0.582149932269672,0.24796033449351199,0.6066545537983279,4.0,2.0540013914747832
South Africa,3137,0.0,0.7081560693987117,0.7081560693987117,55.818093202569585,0.041048214223931234,0.8578270952876282,0.027571783391498912,0.03586422681669099,0.30046505914070176,6.981849584805074,1.6647063206194535,0.5106147428554897,0.3004794196201112,0.66818315766752,6.0,2.55687434689911
Romania,3107,0.0,0.5394995861529388,0.5394995861529388,55.08596419382538,0.040113604731267564,0.7051543336450624,0.026595571970704356,0.034293825389358545,0.2966962370239756,11.06104686212185,1.7933257142145989,0.5491628223564855,0.29649044625071996,0.6984776922232556,5.0,2.3864017561978903
Mexico,3106,0.0018285574837817453,0.1164164996145649,0.11458794213078316,51.710299932190864,0.039006894674970816,0.3055700554778522,0.022740543002463996,0.03368461959826452,0.2944581325416864,10.214429779408986,1.8329792245290526,0.5558287703881347,0.29492313961584143,0.684922657818704,7.0,2.8386916744930897
Hong Kong,3063,0.0,0.5115978171178157,0.5115978171178157,45.87963936443495,0.03502966811728434,0.6316413022375578,0.028072997633066765,0.029571843332029557,0.2842725021369597,10.57288011409379,1.7772296308607292,0.5536164635374027,0.2840156603399226,0.681960420641588,7.0,2.768629836911701
Poland,2193,0.0,0.11155160417232546,0.11155160417232546,62.94934603532624,0.04883071376831279,0.29913134345656833,0.026523719333126274,0.04285913661031515,0.3169880919237065,9.999750276425218,1.7257473587647194,0.5244048495900726,0.31747680271482076,0.6899755357782749,6.0,2.6741005467640626
Denmark,2095,0.0029073803921877417,0.5598630875705471,0.5569557071783594,55.29814184472925,0.042193171287121876,0.6777740403409553,0.0283031955048674,0.03649220724613966,0.3018894140003172,9.583069369777334,1.7382282721306077,0.533936356936164,0.30205489078283776,0.6843584904478335,6.0,2.6290682215264094
South Korea,2085,0.0,0.15310054080755842,0.15310054080755842,48.689123469962304,0.03682309086096081,0.2898498563165671,0.022331536008697004,0.031293325443504494,0.2883564447037821,9.911637946490858,1.9033051581356828,0.587056932566816,0.2886543999463418,0.6918084183770248,7.0,2.782400127436051
Pakistan,1998,0.0,0.7581719316585688,0.7581719316585688,52.036473607757095,0.035353973910192786,0.9998299549764654,0.03234588559236557,0.029838518572339434,0.28532594778071996,8.679447311658073,1.7286405531351186,0.5382907035023614,0.2847416772493254,0.6855242495754039,8.0,2.938439295655817
Turkey,1960,0.0,0.8360729160356944,0.8360729160356944,79.52780008702302,0.06971043497796989,0.9999877065453788,0.12484821649491791,0.03615695641009342,0.3109428539382962,11.306443581845377,3.4801570133211968,0.8480163875926503,0.30121516973115814,0.779800503656562,4.0,2.10840575574578
